seed,scenario,checkpoint_position,exact_resume,model_exact,optimizer_exact,scheduler_exact,stream_exact,rng_exact,gradients_exact,next_batch_match,max_parameter_abs_error,max_optimizer_tensor_abs_error,learning_rate_error,first_divergent_optimizer_step,interrupt_optimizer_step,interrupt_microstep_in_accumulation,reference_final_model_hash,resumed_final_model_hash
11,full_boundary,optimizer_step_boundary,True,True,True,True,True,True,True,True,0.0,0.0,0.0,,5,0,d76d7297b0a468c78bb2c338c39f6faee4f7787cdeb8c4875192005952f4a0f6,d76d7297b0a468c78bb2c338c39f6faee4f7787cdeb8c4875192005952f4a0f6
11,model_optimizer_only,optimizer_step_boundary,False,False,False,False,False,False,True,False,0.06397426128387451,0.01780091761611402,0.004410000000000001,6,5,0,d76d7297b0a468c78bb2c338c39f6faee4f7787cdeb8c4875192005952f4a0f6,937d6fe56036b47d1b6845c4acdf77d7d6fb9d47fbdfc29c727b74dd13660e8e
11,omit_rng,optimizer_step_boundary,False,False,False,True,True,False,True,True,0.07113778591156006,0.019668505061417818,0.0,6,5,0,d76d7297b0a468c78bb2c338c39f6faee4f7787cdeb8c4875192005952f4a0f6,9aa1f5f25927d7d0f1ea083858ef22ea0d298ca99c954e49bc50442c20741fc2
11,omit_stream,optimizer_step_boundary,False,False,False,True,False,True,True,False,0.06570293009281158,0.024716045707464218,0.0,6,5,0,d76d7297b0a468c78bb2c338c39f6faee4f7787cdeb8c4875192005952f4a0f6,878a8547449c5f0d8233a02e7757d7215bc1f4aedf2c09713d91d92082392a1c
11,omit_scheduler,optimizer_step_boundary,False,False,False,False,True,True,True,True,0.006064802408218384,0.0006792731583118439,0.004410000000000001,9,5,0,d76d7297b0a468c78bb2c338c39f6faee4f7787cdeb8c4875192005952f4a0f6,cc874f5c31a63f419b90bb04997a2ff46d197993ddb32cb2a9318b0e6faf2184
11,full_mid_accumulation,mid_accumulation,True,True,True,True,True,True,True,True,0.0,0.0,0.0,,5,1,d76d7297b0a468c78bb2c338c39f6faee4f7787cdeb8c4875192005952f4a0f6,d76d7297b0a468c78bb2c338c39f6faee4f7787cdeb8c4875192005952f4a0f6
11,mid_without_gradients,mid_accumulation,False,False,False,True,True,True,True,True,0.017922472208738327,0.004444459453225136,0.0,6,5,1,d76d7297b0a468c78bb2c338c39f6faee4f7787cdeb8c4875192005952f4a0f6,199524d1a2defdd9116b6a4dfa63643c35a280e9584aceb20fedf8a54a67174b
17,full_boundary,optimizer_step_boundary,True,True,True,True,True,True,True,True,0.0,0.0,0.0,,5,0,3649c58772d98535447b37c24371e44462174e62c5c3c02a234764eceeff6531,3649c58772d98535447b37c24371e44462174e62c5c3c02a234764eceeff6531
17,model_optimizer_only,optimizer_step_boundary,False,False,False,False,False,False,True,False,0.08740417659282684,0.023624231573194265,0.004410000000000001,6,5,0,3649c58772d98535447b37c24371e44462174e62c5c3c02a234764eceeff6531,67d314edaa2ee90abcf1b64595ff6aadc415a4cc732fb5c391307b4465759524
17,omit_rng,optimizer_step_boundary,False,False,False,True,True,False,True,True,0.07143750134855509,0.028127921745181084,0.0,6,5,0,3649c58772d98535447b37c24371e44462174e62c5c3c02a234764eceeff6531,62cad62c6c12bf0f719437fdbb5a73a3cd0ae738ac002a9b22aef05188d668ce
17,omit_stream,optimizer_step_boundary,False,False,False,True,False,True,True,False,0.07317064702510834,0.03089849092066288,0.0,6,5,0,3649c58772d98535447b37c24371e44462174e62c5c3c02a234764eceeff6531,37a5ca6497670239b0844513840ab54e20028dacfd752fc798f67903902b73ef
17,omit_scheduler,optimizer_step_boundary,False,False,False,False,True,True,True,True,0.005885720252990723,0.0007444843649864197,0.004410000000000001,9,5,0,3649c58772d98535447b37c24371e44462174e62c5c3c02a234764eceeff6531,8a399e6b9b277f172278382575aa7172540b6705730bb107495bc0b64ba7c62d
