step,waiting,running,finished,used_blocks,free_blocks,preemptions
0,0,2,0,4,44,0
1,0,4,0,10,38,0
2,0,5,0,13,35,0
3,0,8,0,17,31,0
4,0,12,0,21,27,0
5,4,12,0,25,23,0
6,6,12,0,30,18,0
7,10,12,0,34,14,0
8,12,12,0,39,9,0
9,15,12,0,42,6,0
10,18,12,0,46,2,0
11,29,4,0,46,2,8
12,34,4,0,46,2,16
13,35,4,0,46,2,24
14,39,4,0,46,2,32
15,41,4,0,46,2,40
16,44,4,0,47,1,48
17,49,4,0,47,1,56
18,51,4,0,47,1,64
19,53,4,0,47,1,72
20,58,4,0,47,1,80
21,61,4,0,47,1,88
22,63,4,0,48,0,96
23,65,3,1,48,0,96
24,59,12,1,47,1,96
25,72,3,1,43,5,105
26,64,12,1,47,1,105
27,74,3,1,44,4,114
28,67,12,1,48,0,114
29,76,3,1,44,4,123
30,67,11,2,48,0,123
31,66,12,2,32,16,123
32,66,12,2,36,12,123
33,66,11,3,40,8,123
34,65,12,3,25,23,123
35,65,12,3,28,20,123
36,65,12,3,32,16,123
37,65,12,3,36,12,123
38,65,12,3,41,7,123
39,65,12,3,45,3,123
40,74,3,3,40,8,132
41,65,12,3,44,4,132
42,74,3,3,41,7,141
43,65,12,3,45,3,141
44,74,3,3,41,7,150
45,65,12,3,45,3,150
46,74,3,3,42,6,159
47,65,12,3,46,2,159
48,74,3,3,42,6,168
49,65,12,3,46,2,168
50,74,3,3,42,6,177
51,65,12,3,46,2,177
52,74,3,3,42,6,186
53,65,12,3,46,2,186
54,74,3,3,43,5,195
55,65,12,3,47,1,195
56,74,3,3,43,5,204
57,65,12,3,47,1,204
58,74,3,3,44,4,213
59,65,12,3,48,0,213
60,74,3,3,44,4,222
61,65,12,3,48,0,222
62,74,3,3,45,3,231
63,74,2,4,45,3,240
64,64,12,4,43,5,240
65,64,12,4,47,1,240
66,74,2,4,39,9,250
67,64,12,4,43,5,250
68,64,12,4,47,1,250
69,74,2,4,39,9,260
70,64,12,4,43,5,260
71,64,12,4,47,1,260
72,74,2,4,39,9,270
73,64,12,4,43,5,270
74,64,12,4,48,0,270
75,74,2,4,40,8,280
76,64,12,4,44,4,280
77,64,11,5,48,0,280
78,63,12,5,30,18,280
79,63,12,5,34,14,280
80,63,12,5,38,10,280
81,63,12,5,43,5,280
82,63,12,5,47,1,280
83,71,4,5,45,3,288
84,71,4,5,46,2,296
85,71,4,5,46,2,304
86,71,4,5,46,2,312
87,71,4,5,46,2,320
88,71,4,5,46,2,328
89,71,4,5,47,1,336
90,72,3,5,42,6,345
91,63,12,5,46,2,345
92,71,4,5,48,0,353
93,71,4,5,48,0,353
94,71,4,5,48,0,353
95,71,4,5,48,0,353
96,71,4,5,48,0,353
97,71,4,5,48,0,353
98,71,4,5,48,0,353
99,71,4,5,48,0,353
100,72,2,6,43,5,354
101,62,12,6,30,18,354
102,62,12,6,35,13,354
103,62,12,6,40,8,354
104,62,12,6,43,5,354
105,67,7,6,47,1,359
106,67,7,6,48,0,364
107,68,6,6,46,2,365
108,68,6,6,46,2,371
109,68,6,6,46,2,377
110,68,6,6,47,1,383
111,68,6,6,47,1,389
112,68,6,6,48,0,395
113,68,6,6,48,0,395
114,68,6,6,48,0,395
115,69,5,6,43,5,396
116,62,12,6,47,1,396
117,68,6,6,48,0,402
118,68,6,6,48,0,402
119,69,5,6,43,5,403
120,62,12,6,47,1,403
121,69,5,6,44,4,410
122,69,5,6,45,3,417
123,69,5,6,45,3,424
124,69,5,6,45,3,431
125,69,5,6,45,3,438
126,69,5,6,46,2,445
127,69,5,6,46,2,452
128,69,5,6,47,1,459
129,69,5,6,47,1,466
130,69,5,6,47,1,473
131,69,5,6,48,0,480
132,69,5,6,48,0,480
133,69,5,6,48,0,480
134,69,4,7,48,0,480
135,61,12,7,31,17,480
136,61,11,8,36,12,480
137,60,12,8,31,17,480
138,60,12,8,36,12,480
139,60,12,8,39,9,480
140,60,12,8,43,5,480
141,60,12,8,46,2,480
142,65,7,8,36,12,485
143,60,12,8,40,8,485
144,60,12,8,46,2,485
145,65,7,8,38,10,490
146,60,12,8,44,4,490
147,65,7,8,41,7,495
148,60,12,8,45,3,495
149,65,7,8,41,7,500
150,60,12,8,45,3,500
151,65,7,8,41,7,505
152,60,12,8,45,3,505
153,65,7,8,41,7,510
154,60,12,8,46,2,510
155,65,7,8,42,6,515
156,60,12,8,46,2,515
157,65,7,8,42,6,520
158,60,12,8,47,1,520
159,65,7,8,43,5,525
160,65,7,8,45,3,530
161,65,7,8,45,3,535
162,65,7,8,47,1,540
163,65,7,8,48,0,545
164,65,7,8,48,0,545
165,65,6,9,48,0,545
166,59,12,9,47,1,545
167,65,6,9,43,5,551
168,59,12,9,47,1,551
169,65,6,9,43,5,557
170,59,12,9,48,0,557
171,65,6,9,44,4,563
172,59,11,10,48,0,563
173,58,12,10,44,4,563
174,58,12,10,48,0,563
175,65,5,10,37,11,570
176,58,12,10,43,5,570
177,58,12,10,47,1,570
178,65,5,10,40,8,577
179,58,12,10,44,4,577
180,58,12,10,48,0,577
181,65,5,10,40,8,584
182,58,12,10,44,4,584
183,58,12,10,48,0,584
184,65,5,10,40,8,591
185,58,12,10,44,4,591
186,65,5,10,41,7,598
187,58,12,10,45,3,598
188,65,5,10,41,7,605
189,58,12,10,45,3,605
190,65,5,10,42,6,612
191,58,11,11,46,2,612
192,57,11,12,44,4,612
193,56,12,12,36,12,612
194,56,12,12,41,7,612
195,56,12,12,44,4,612
196,63,5,12,45,3,619
197,63,5,12,45,3,626
198,63,5,12,46,2,633
199,63,5,12,46,2,640
200,63,4,13,46,2,647
201,55,12,13,43,5,647
