step,waiting,running,finished,used_blocks,free_blocks,preemptions
0,0,2,0,4,44,0
1,0,4,0,10,38,0
2,0,5,0,13,35,0
3,0,8,0,17,31,0
4,0,12,0,21,27,0
5,4,12,0,25,23,0
6,6,12,0,30,18,0
7,10,12,0,34,14,0
8,12,12,0,39,9,0
9,15,12,0,42,6,0
10,18,12,0,46,2,0
11,29,4,0,46,2,8
12,34,4,0,46,2,8
13,35,4,0,46,2,8
14,39,4,0,46,2,8
15,41,4,0,46,2,8
16,44,4,0,47,1,8
17,49,4,0,47,1,8
18,51,4,0,47,1,8
19,53,4,0,47,1,8
20,58,4,0,47,1,8
21,61,4,0,47,1,8
22,63,4,0,48,0,8
23,65,3,1,48,0,8
24,68,3,1,43,5,8
25,72,3,1,43,5,8
26,73,3,1,43,5,8
27,74,3,1,44,4,8
28,76,3,1,44,4,8
29,76,3,1,44,4,8
30,76,2,2,44,4,8
31,66,12,2,28,20,8
32,66,12,2,32,16,8
33,66,11,3,36,12,8
34,65,12,3,20,28,8
35,65,12,3,25,23,8
36,65,12,3,29,19,8
37,65,12,3,32,16,8
38,65,12,3,37,11,8
39,65,12,3,41,7,8
40,65,12,3,45,3,8
41,74,3,3,40,8,17
42,74,3,3,40,8,17
43,74,3,3,41,7,17
44,74,3,3,41,7,17
45,74,3,3,41,7,17
46,74,3,3,41,7,17
47,74,3,3,42,6,17
48,74,3,3,42,6,17
49,74,3,3,42,6,17
50,74,3,3,42,6,17
51,74,3,3,42,6,17
52,74,3,3,42,6,17
53,74,3,3,42,6,17
54,74,3,3,43,5,17
55,74,3,3,43,5,17
56,74,3,3,43,5,17
57,74,3,3,43,5,17
58,74,3,3,43,5,17
59,74,3,3,44,4,17
60,74,3,3,44,4,17
61,74,3,3,44,4,17
62,74,3,3,44,4,17
63,74,2,4,45,3,17
64,74,2,4,39,9,17
65,74,2,4,39,9,17
66,74,2,4,39,9,17
67,74,2,4,39,9,17
68,74,2,4,39,9,17
69,74,2,4,39,9,17
70,74,2,4,39,9,17
71,74,2,4,39,9,17
72,74,2,4,39,9,17
73,74,2,4,39,9,17
74,74,2,4,39,9,17
75,74,2,4,40,8,17
76,74,2,4,40,8,17
77,74,2,4,40,8,17
78,74,1,5,40,8,17
79,63,12,5,22,26,17
80,63,12,5,26,22,17
81,63,12,5,30,18,17
82,63,12,5,34,14,17
83,63,12,5,38,10,17
84,63,12,5,43,5,17
85,63,12,5,47,1,17
86,71,4,5,45,3,25
87,71,4,5,46,2,25
88,71,4,5,46,2,25
89,71,4,5,46,2,25
90,71,4,5,46,2,25
91,71,4,5,47,1,25
92,71,4,5,48,0,25
93,72,3,5,42,6,26
94,65,10,5,46,2,26
95,71,4,5,48,0,32
96,71,4,5,48,0,32
97,71,4,5,48,0,32
98,71,4,5,48,0,32
99,71,4,5,48,0,32
100,71,4,5,48,0,32
101,71,4,5,48,0,32
102,71,4,5,48,0,32
103,72,2,6,43,5,33
104,62,12,6,30,18,33
105,62,12,6,35,13,33
106,62,12,6,40,8,33
107,62,12,6,44,4,33
108,67,7,6,48,0,38
109,67,7,6,48,0,38
110,68,6,6,46,2,39
111,68,6,6,46,2,39
112,68,6,6,46,2,39
113,68,6,6,47,1,39
114,68,6,6,47,1,39
115,68,6,6,48,0,39
116,68,6,6,48,0,39
117,68,6,6,48,0,39
118,69,5,6,43,5,40
119,65,9,6,47,1,40
120,68,6,6,48,0,43
121,68,6,6,48,0,43
122,69,5,6,43,5,44
123,65,9,6,48,0,44
124,69,5,6,45,3,48
125,69,5,6,45,3,48
126,69,5,6,45,3,48
127,69,5,6,45,3,48
128,69,5,6,45,3,48
129,69,5,6,46,2,48
130,69,5,6,46,2,48
131,69,5,6,47,1,48
132,69,5,6,47,1,48
133,69,5,6,47,1,48
134,69,5,6,48,0,48
135,69,4,7,48,0,48
136,61,12,7,31,17,48
137,61,12,7,36,12,48
138,61,12,7,40,8,48
139,61,11,8,45,3,48
140,60,12,8,39,9,48
141,60,12,8,43,5,48
142,60,12,8,46,2,48
143,65,7,8,35,13,53
144,65,7,8,35,13,53
145,65,7,8,37,11,53
146,65,7,8,37,11,53
147,65,7,8,40,8,53
148,65,7,8,40,8,53
149,65,7,8,40,8,53
150,65,7,8,41,7,53
151,65,7,8,41,7,53
152,65,7,8,41,7,53
153,65,7,8,41,7,53
154,65,7,8,41,7,53
155,65,7,8,42,6,53
156,65,7,8,42,6,53
157,65,7,8,42,6,53
158,65,7,8,42,6,53
159,65,7,8,42,6,53
160,65,7,8,42,6,53
161,65,7,8,44,4,53
162,65,7,8,44,4,53
163,65,7,8,47,1,53
164,65,7,8,47,1,53
165,65,7,8,47,1,53
166,65,6,9,48,0,53
167,65,6,9,43,5,53
168,65,6,9,43,5,53
169,65,6,9,43,5,53
170,65,6,9,43,5,53
171,65,6,9,44,4,53
172,65,6,9,44,4,53
173,65,6,9,44,4,53
174,65,6,9,44,4,53
175,65,5,10,44,4,53
176,65,5,10,36,12,53
177,65,5,10,38,10,53
178,65,5,10,38,10,53
179,65,5,10,40,8,53
180,65,5,10,40,8,53
181,65,5,10,40,8,53
182,65,5,10,40,8,53
183,65,5,10,40,8,53
184,65,5,10,40,8,53
185,65,5,10,40,8,53
186,65,5,10,40,8,53
187,65,5,10,41,7,53
188,65,5,10,41,7,53
189,65,5,10,41,7,53
190,65,5,10,41,7,53
191,65,5,10,41,7,53
192,65,5,10,41,7,53
193,65,5,10,43,5,53
194,65,4,11,43,5,53
195,65,3,12,37,11,53
196,56,12,12,29,19,53
197,56,12,12,33,15,53
198,56,12,12,37,11,53
199,56,12,12,41,7,53
200,56,12,12,45,3,53
201,63,4,13,45,3,60
