step,waiting,running,finished,used_blocks,free_blocks,preemptions
0,0,2,0,4,44,0
1,0,4,0,10,38,0
2,0,5,0,13,35,0
3,0,8,0,17,31,0
4,0,12,0,21,27,0
5,4,12,0,25,23,0
6,6,12,0,30,18,0
7,10,12,0,34,14,0
8,12,12,0,39,9,0
9,15,12,0,42,6,0
10,18,12,0,46,2,0
11,29,4,0,46,2,8
12,34,4,0,46,2,8
13,35,4,0,46,2,8
14,39,4,0,46,2,8
15,41,4,0,46,2,8
16,44,4,0,47,1,8
17,49,4,0,47,1,8
18,51,4,0,47,1,8
19,53,4,0,47,1,8
20,58,4,0,47,1,8
21,61,4,0,47,1,8
22,63,4,0,48,0,8
23,65,3,1,48,0,8
24,68,3,1,43,5,8
25,72,3,1,43,5,8
26,73,3,1,43,5,8
27,74,3,1,44,4,8
28,76,3,1,44,4,8
29,76,3,1,44,4,8
30,76,2,2,44,4,8
31,76,2,2,24,24,8
32,76,2,2,24,24,8
33,76,1,3,24,24,8
34,65,12,3,8,40,8
35,65,12,3,12,36,8
36,65,12,3,16,32,8
37,65,12,3,20,28,8
38,65,12,3,26,22,8
39,65,12,3,30,18,8
40,65,12,3,34,14,8
41,65,12,3,37,11,8
42,65,12,3,42,6,8
43,65,12,3,45,3,8
44,74,3,3,40,8,17
45,74,3,3,40,8,17
46,74,3,3,41,7,17
47,74,3,3,41,7,17
48,74,3,3,41,7,17
49,74,3,3,41,7,17
50,74,3,3,42,6,17
51,74,3,3,42,6,17
52,74,3,3,42,6,17
53,74,3,3,42,6,17
54,74,3,3,43,5,17
55,74,3,3,43,5,17
56,74,3,3,43,5,17
57,74,3,3,43,5,17
58,74,3,3,43,5,17
59,74,3,3,43,5,17
60,74,3,3,43,5,17
61,74,3,3,43,5,17
62,74,3,3,44,4,17
63,74,2,4,44,4,17
64,74,2,4,38,10,17
65,74,2,4,38,10,17
66,74,2,4,39,9,17
67,74,2,4,39,9,17
68,74,2,4,39,9,17
69,74,2,4,39,9,17
70,74,2,4,39,9,17
71,74,2,4,39,9,17
72,74,2,4,39,9,17
73,74,2,4,39,9,17
74,74,2,4,39,9,17
75,74,2,4,39,9,17
76,74,2,4,39,9,17
77,74,2,4,39,9,17
78,74,2,4,40,8,17
79,74,2,4,40,8,17
80,74,2,4,40,8,17
81,74,1,5,40,8,17
82,63,12,5,22,26,17
83,63,12,5,26,22,17
84,63,12,5,30,18,17
85,63,12,5,34,14,17
86,63,12,5,38,10,17
87,63,12,5,43,5,17
88,63,12,5,47,1,17
89,71,4,5,45,3,25
90,71,4,5,46,2,25
91,71,4,5,46,2,25
92,71,4,5,46,2,25
93,71,4,5,46,2,25
94,71,4,5,47,1,25
95,71,4,5,48,0,25
96,72,3,5,42,6,26
97,72,3,5,42,6,26
98,72,3,5,42,6,26
99,72,3,5,42,6,26
100,72,3,5,42,6,26
101,72,3,5,42,6,26
102,72,3,5,42,6,26
103,72,3,5,42,6,26
104,72,3,5,42,6,26
105,72,3,5,42,6,26
106,72,2,6,43,5,26
107,62,12,6,30,18,26
108,62,12,6,35,13,26
109,62,12,6,40,8,26
110,62,12,6,44,4,26
111,67,7,6,48,0,31
112,67,7,6,48,0,31
113,68,6,6,46,2,32
114,68,6,6,46,2,32
115,68,6,6,46,2,32
116,68,6,6,47,1,32
117,68,6,6,47,1,32
118,68,6,6,48,0,32
119,68,6,6,48,0,32
120,68,6,6,48,0,32
121,69,5,6,43,5,33
122,69,5,6,43,5,33
123,69,5,6,43,5,33
124,69,5,6,43,5,33
125,69,5,6,43,5,33
126,69,5,6,44,4,33
127,69,5,6,45,3,33
128,69,5,6,45,3,33
129,69,5,6,45,3,33
130,69,5,6,45,3,33
131,69,5,6,45,3,33
132,69,5,6,46,2,33
133,69,5,6,46,2,33
134,69,5,6,47,1,33
135,69,5,6,47,1,33
136,69,5,6,47,1,33
137,69,5,6,48,0,33
138,69,4,7,48,0,33
139,65,8,7,31,17,33
140,65,8,7,36,12,33
141,65,8,7,40,8,33
142,65,7,8,44,4,33
143,65,7,8,35,13,33
144,65,7,8,35,13,33
145,65,7,8,35,13,33
146,65,7,8,35,13,33
147,65,7,8,35,13,33
148,65,7,8,37,11,33
149,65,7,8,37,11,33
150,65,7,8,40,8,33
151,65,7,8,40,8,33
152,65,7,8,40,8,33
153,65,7,8,41,7,33
154,65,7,8,41,7,33
155,65,7,8,41,7,33
156,65,7,8,41,7,33
157,65,7,8,41,7,33
158,65,7,8,42,6,33
159,65,7,8,42,6,33
160,65,7,8,42,6,33
161,65,7,8,42,6,33
162,65,7,8,42,6,33
163,65,7,8,42,6,33
164,65,7,8,44,4,33
165,65,7,8,44,4,33
166,65,7,8,47,1,33
167,65,7,8,47,1,33
168,65,7,8,47,1,33
169,65,6,9,48,0,33
170,65,6,9,43,5,33
171,65,6,9,43,5,33
172,65,6,9,43,5,33
173,65,6,9,43,5,33
174,65,6,9,44,4,33
175,65,6,9,44,4,33
176,65,6,9,44,4,33
177,65,6,9,44,4,33
178,65,5,10,44,4,33
179,65,5,10,36,12,33
180,65,5,10,38,10,33
181,65,5,10,38,10,33
182,65,5,10,40,8,33
183,65,5,10,40,8,33
184,65,5,10,40,8,33
185,65,5,10,40,8,33
186,65,5,10,40,8,33
187,65,5,10,40,8,33
188,65,5,10,40,8,33
189,65,5,10,40,8,33
190,65,5,10,41,7,33
191,65,5,10,41,7,33
192,65,5,10,41,7,33
193,65,5,10,41,7,33
194,65,5,10,41,7,33
195,65,5,10,41,7,33
196,65,5,10,43,5,33
197,65,4,11,43,5,33
198,65,3,12,37,11,33
199,57,11,12,29,19,33
200,57,11,12,33,15,33
201,57,11,12,37,11,33
